CD_GEOCMU;CD_GEOCMU6DIG;NM_MUNICIP;NM_MUNICIP2;NRS;NM_RS;LONG;LAT;POP_MUN
2921807;292180;MORTUGABA;Mortugaba;Sudoeste;Guanambi;-42,320291;-14,972641;12042
2921906;292190;MUCUGÊ;Mucugê;Centro-leste;Seabra;-41,474908;-13,065099;9062
2922003;292200;MUCURI;Mucuri;Extremo sul;Teixeira de Freitas;-39,867012;-18,059175;41748
2922052;292205;MULUNGU DO MORRO;Mulungu do Morro;Centro-norte;Irecê;-41,523939;-11,977766;10889
2922102;292210;MUNDO NOVO;Mundo Novo;Centro-leste;Feira de Santana;-40,559365;-11,952823;26776
2922201;292220;MUNIZ FERREIRA;Muniz Ferreira;Leste;Santo Antônio de Jesus;-39,087693;-13,002487;7422
2922250;292225;MUQUÉM DE SÃO FRANCISCO;Muquém de São Francisco;Oeste;Ibotirama;-43,498618;-12,211864;11348
2922300;292230;MURITIBA;Muritiba;Leste;Cruz das Almas;-39,086288;-12,621753;29399
2922409;292240;MUTUÍPE;Mutuípe;Leste;Santo Antônio de Jesus;-39,506624;-13,311879;22221
2922508;292250;NAZARÉ;Nazaré;Leste;Santo Antônio de Jesus;-38,980867;-12,953683;28525
2922607;292260;NILO PEÇANHA;Nilo Peçanha;Sul;Valença;-39,174237;-13,659996;13997
2922656;292265;NORDESTINA;Nordestina;Centro-leste;Serrinha;-39,451411;-10,873094;13130
2922706;292270;NOVA CANAÃ;Nova Canaã;Sudoeste;Itapetinga;-40,180328;-14,857518;16462
2922730;292273;NOVA FÁTIMA;Nova Fátima;Centro-leste;Feira de Santana;-39,635619;-11,621358;7812
2922755;292275;NOVA IBIÁ;Nova Ibiá;Sul;Valença;-39,582809;-13,824994;6591
2922805;292280;NOVA ITARANA;Nova Itarana;Sul;Jequié;-40,034579;-13,046495;8226
2922854;292285;NOVA REDENÇÃO;Nova Redenção;Centro-leste;Itaberaba;-41,091235;-12,800116;9118
2922904;292290;NOVA SOURE;Nova Soure;Nordeste;Ribeira do Pombal;-38,556622;-11,302698;26947
2923001;292300;NOVA VIÇOSA;Nova Viçosa;Extremo sul;Teixeira de Freitas;-39,715402;-17,899666;43376
2923035;292303;NOVO HORIZONTE;Novo Horizonte;Centro-leste;Seabra;-42,128664;-12,840873;12385
2923050;292305;NOVO TRIUNFO;Novo Triunfo;Nordeste;Ribeira do Pombal;-38,449429;-10,36816;15440
2923100;292310;OLINDINA;Olindina;Nordeste;Ribeira do Pombal;-38,354792;-11,434911;28229
2923209;292320;OLIVEIRA DOS BREJINHOS;Oliveira dos Brejinhos;Oeste;Ibotirama;-42,734881;-12,283355;21825
2923308;292330;OURIÇANGAS;Ouriçangas;Nordeste;Alagoinhas;-38,653673;-12,009336;8564
2923357;292335;OUROLÂNDIA;Ourolândia;Centro-norte;Jacobina;-41,137091;-10,847911;17451
2923407;292340;PALMAS DE MONTE ALTO;Palmas de Monte Alto;Sudoeste;Guanambi;-43,217804;-14,175408;21750
2923506;292350;PALMEIRAS;Palmeiras;Centro-leste;Seabra;-41,553922;-12,552429;9019
2923605;292360;PARAMIRIM;Paramirim;Sudoeste;Brumado;-42,240359;-13,519656;21607
2923704;292370;PARATINGA;Paratinga;Oeste;Ibotirama;-43,064445;-12,690719;32000
2923803;292380;PARIPIRANGA;Paripiranga;Nordeste;Ribeira do Pombal;-37,900819;-10,616713;28989
2923902;292390;PAU BRASIL;Pau Brasil;Sul;Itabuna;-39,690474;-15,468285;9831
2924009;292400;PAULO AFONSO;Paulo Afonso;Norte;Paulo Afonso;-38,293546;-9,539588;117782
2924058;292405;PÉ DE SERRA;Pé de Serra;Centro-leste;Feira de Santana;-39,609677;-11,872035;13578
2924108;292410;PEDRÃO;Pedrão;Nordeste;Alagoinhas;-38,640544;-12,12957;7347
2924207;292420;PEDRO ALEXANDRE;Pedro Alexandre;Norte;Paulo Afonso;-37,950336;-10,063191;16667
2924306;292430;PIATÃ;Piatã;Centro-leste;Seabra;-41,877448;-13,04604;17123
2924405;292440;PILÃO ARCADO;Pilão Arcado;Norte;Juazeiro;-43,116428;-10,007667;35048
2924504;292450;PINDAÍ;Pindaí;Sudoeste;Guanambi;-42,678568;-14,471618;16260
2924603;292460;PINDOBAÇU;Pindobaçu;Norte;Senhor do Bonfim;-40,340971;-10,72387;20150
2924652;292465;PINTADAS;Pintadas;Centro-leste;Feira de Santana;-39,897979;-11,868874;10437
2924678;292467;PIRAÍ DO NORTE;Piraí do Norte;Sul;Valença;-39,376851;-13,805445;10023
2924702;292470;PIRIPÁ;Piripá;Sudoeste;Vitória da Conquista;-41,716107;-15,003902;10707
2924801;292480;PIRITIBA;Piritiba;Centro-norte;Jacobina;-40,605378;-11,694956;24755
2924900;292490;PLANALTINO;Planaltino;Sul;Jequié;-40,303187;-13,186496;9322
2925006;292500;PLANALTO;Planalto;Sudoeste;Vitória da Conquista;-40,457387;-14,708578;26265
2925105;292510;POÇÕES;Poções;Sudoeste;Vitória da Conquista;-40,382614;-14,536483;46871
2925204;292520;POJUCA;Pojuca;Leste;Camaçari;-38,252964;-12,361734;39519
2925253;292525;PONTO NOVO;Ponto Novo;Norte;Senhor do Bonfim;-40,105711;-10,958925;14914
2925303;292530;PORTO SEGURO;Porto Seguro;Extremo sul;Porto Seguro;-39,279104;-16,625016;148686
2925402;292540;POTIRAGUÁ;Potiraguá;Sudoeste;Itapetinga;-39,772076;-15,681223;7224
2925501;292550;PRADO;Prado;Extremo sul;Teixeira de Freitas;-39,352013;-17,129693;28174
2925600;292560;PRESIDENTE DUTRA;Presidente Dutra;Centro-norte;Irecê;-41,99531;-11,303399;15142
2925709;292570;PRESIDENTE JÂNIO QUADROS;Presidente Jânio Quadros;Sudoeste;Vitória da Conquista;-41,72582;-14,696427;12338
2925758;292575;PRESIDENTE TANCREDO NEVES;Presidente Tancredo Neves;Leste;Santo Antônio de Jesus;-39,417648;-13,449235;27719
2925808;292580;QUEIMADAS;Queimadas;Centro-leste;Serrinha;-39,752452;-11,056724;25439
2925907;292590;QUIJINGUE;Quijingue;Centro-leste;Serrinha;-39,049783;-10,778079;27580
2925931;292593;QUIXABEIRA;Quixabeira;Centro-norte;Jacobina;-40,118614;-11,392515;8972
2925956;292595;RAFAEL JAMBEIRO;Rafael Jambeiro;Centro-leste;Feira de Santana;-39,574079;-12,478738;22621
2926004;292600;REMANSO;Remanso;Norte;Juazeiro;-42,25422;-9,598436;41008
2926103;292610;RETIROLÂNDIA;Retirolândia;Centro-leste;Serrinha;-39,416695;-11,503042;14396
2926202;292620;RIACHÃO DAS NEVES;Riachão das Neves;Oeste;Barreiras;-45,217792;-11,623038;22339
2926301;292630;RIACHÃO DO JACUÍPE;Riachão do Jacuípe;Centro-leste;Feira de Santana;-39,423475;-11,801011;33436
2926400;292640;RIACHO DE SANTANA;Riacho de Santana;Sudoeste;Guanambi;-43,049694;-13,633176;35421
2926509;292650;RIBEIRA DO AMPARO;Ribeira do Amparo;Nordeste;Ribeira do Pombal;-38,383809;-10,972639;14592
2926608;292660;RIBEIRA DO POMBAL;Ribeira do Pombal;Nordeste;Ribeira do Pombal;-38,551265;-10,797554;53807
2926657;292665;RIBEIRÃO DO LARGO;Ribeirão do Largo;Sudoeste;Vitória da Conquista;-40,651847;-15,427224;5812
2926707;292670;RIO DE CONTAS;Rio de Contas;Sudoeste;Brumado;-41,746577;-13,581612;12989
2926806;292680;RIO DO ANTÔNIO;Rio do Antônio;Sudoeste;Guanambi;-42,084136;-14,310255;15371
2926905;292690;RIO DO PIRES;Rio do Pires;Sudoeste;Brumado;-42,147712;-13,134756;11655
2927002;292700;RIO REAL;Rio Real;Nordeste;Alagoinhas;-37,912748;-11,547921;40732
2927101;292710;RODELAS;Rodelas;Norte;Paulo Afonso;-38,692464;-9,183933;9331
2927200;292720;RUY BARBOSA;Ruy Barbosa;Centro-leste;Itaberaba;-40,629652;-12,243549;30814
2927309;292730;SALINAS DA MARGARIDA;Salinas da Margarida;Leste;Santo Antônio de Jesus;-38,758373;-12,885294;15667
2927408;292740;SALVADOR;Salvador;Leste;Salvador;-38,51462;-12,873507;2872347
2927507;292750;SANTA BÁRBARA;Santa Bárbara;Centro-leste;Feira de Santana;-38,982309;-11,939431;20791
2927606;292760;SANTA BRÍGIDA;Santa Brígida;Norte;Paulo Afonso;-38,150149;-9,763086;14213
2927705;292770;SANTA CRUZ CABRÁLIA;Santa Cruz Cabrália;Extremo sul;Porto Seguro;-39,200954;-16,229178;27778
